title,address,phone,lat,lng,contentString
apollo Beach,"5909 US-41, Apollo Beach, FL 33570",(833) 880-5420,27.76149,-82.39696,
Boca Raton,"9912 Glades Rd, Boca Raton, FL 33434",(561) 939-6655,26.36677,-80.20157,
Bonita Springs,"8800 Terrene Ct, Bonita Springs, FL 34135",(239) 345-4024,26.35354,-81.80708,
Boynton Beach,"202 E Boynton Beach Blvd, Boynton Beach, FL 33435",(877) 308-3344,26.52839,-80.06191,
Bradenton,"4549 W 14th St, Bradenton , FL 34207",(941) 216-7838,27.45904,-82.57531,
Brandon,"1525 E Brandon Blvd, Brandon, FL 33511",(813) 413-5020,27.9371,-82.26248,
Brooksville,"1525 E Brandon Blvd, Brandon, FL 33511",(813) 413-5020,27.9371,-82.26248,
Cape Coral,"2126 Del Prado Blvd S, Cape Coral, FL 32216",(239) 347-4574,26.61234,-81.94141,
Casselberry,"487 Semoran Blvd, Casselberry, FL 32730",(888) 441-5669,28.65495,-81.3339,
Clearwater,"921 S Missouri Ave, Clearwater, FL 33756",(727) 219-9198,27.95562,-82.78724,
Dania Beach,"1103 S Federal Hwy, Dania Beach, FL 33004",(754) 231-4884,26.03771,-80.14329,
Daytona Beach,"910 W International Speedway Blvd, Daytona Beach, FL 32114",(386) 271-4732,29.20506,-81.03644,
Deerfield Beach,"148 N Federal Hwy, Deerfield Beach, FL 33441",754) 212-0060,26.32016,-80.09057,
Delray Beach,"15200 S Jog Rd Ste B11, Delray Beach, FL 33446",(850) 391-5455,26.44858,-80.20578,
Deltona,"1200 Deltona Blvd Ste 2, Deltona, FL 32725",(850) 391-5455,28.89645,-81.27201,
Destin,"868 Hwy 98 E Shoreline Village Mall, Destin, FL 32541",(850) 204-9031,30.38881,-86.48048,
Edgewater,"103 Boston Rd, Edgewater, FL 32141",(386) 478-4081,28.97059,-80.8936,
Fernandina Beach,"474285 E State Rd, Fernandina, FL 32034",(954) 399-6595,30.61861,-81.51613,
Fort Lauderdale,"1417 SW 40th Ter, Fort Lauderdale, FL 33317",(954) 399-6595,26.0724,-80.15723,
Fort Myers,"4480 Fowler St, Fort Myers, FL 33901",(239) 244-9629,26.59825,-81.86221,
Fort Pierce,"3218�US�Hwy�1, Fort�Pierce, FL 34982",(772) 577-7762,27.40805,-80.32539,
Fort Walton Beach,"109 Racetrack Rd NE Ste F, Fort Walton Beach, FL 32547",(850) 200-0828,30.44903,-86.6143,
Gainesville,"318 NW 13th St, Gainesville, FL 32601",(352) 415-1824,29.65461,-82.33952,
Hallandale Beach,"308 N Federal Hwy, Hallandale Beach, FL 33009",(561) 440-2360,25.98961,-80.1422,
Holly Hill,"1027 N Nova Rd Ste 105, Holly Hill, FL 32117",(386) 281-3296,29.22628,-81.04989,
Jacksonville,"4332 University Blvd S, Jacksonville, FL 32216",(904) 694-2174,30.27851,-81.60335,
Jensen Beach,"3631 NW Federal Hwy, Jensen Beach, FL 34957",(772) 934-9575,27.24831,-80.2718,
Key West,"130 Duval St, Key West, FL 33040",(786) 625-7732,24.55905,-81.80562,
Kissimmee,"4967 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",(407) 693-0490,28.3337,-81.48111,
Lady Lake,"929 US-441 Hwy Ste 202, Lady Lake, FL 32159",(833) 880-5420,28.93525,-81.93779,
Lake Worth,"1125 N Dixie Hwy Ste C, Lake Worth, FL 33460",(561) 612-4455,26.62952,-80.05718,
Lakeland,"3145�US�Hwy�98�N, Lakeland, FL 33805",(863) 213-1037,28.0816,-81.96482,
Largo,"10761 Ulmerton Rd, Largo, FL 33778",(850) 391-5455,27.89505,-82.788292,
Longwood,"415 W SR 434, Longwood, FL 32750",(407) 357-0805,28.69791,-81.35084,
Lutz,"1408 N Dale Mabry Hwy, Lutz, FL 33548",(813) 803-8188,28.16373,-82.4793,
Melbourne,"21 Suntree Pl, Melbourne, FL 32803",(321) 294-4465,28.22793,-80.67951,
Merritt Island,"150�E�Merritt�Island�Cswy, Merritt�Island, FL 32952",(321) 305-6173,28.35742,-80.69726,
Miami,"9002 S Dadeland Blvd, Miami, FL 33156",(786) 577-3976,25.68655,-80.3134,
Miami Beach,"1523�Alton�Rd�Ste�9, Miami Beach, FL 33139",(850) 391-5455,25.78796,-80.14072,
Miami Gardens,"18350 NW 47th Ave, Miami Gardens, FL 33055",(786) 632-1516,25.94068,-80.27788,
New Port Richey,"5138 Deer Park Dr, New Port Richey, FL 34653",(833) 735-8368,28.23461,-82.6678,
North Miami Beach,"16685�NW�2nd�Ave, North�Miami�Beach, FL 33169",(786) 605-0830,25.92977,-80.20445,
North Palm Beach,"11575�US�Hwy�1, North�Palm�Beach, FL 33408",391-5455,26.80375,-80.05541,
North Port,"7050 Sumter Crossing Dr, North Port, FL 34287",(941) 200-6098,27.033751,-82.21212,
Ocala,"1839�SW�College�Rd, Ocala, FL 34471",(352) 619-2540,27.033751,-82.21212,
Orange Park,"495 Blanding Blvd, Orange Park, FL 32073",(904) 541-8805,27.033751,-82.21212,
Orlando,"10615 E Colonial Drive, Orlando, FL 32803",407) 843-3445,27.033751,-82.21212,
Ormond Beach,"290 Clyde Morris Blvd Ste B2, Ormond Beach, FL 32174",(833) 880-5420,29.27143,-81.09715,
Oviedo,"4301 Alafaya Trl, Oviedo, FL 32765",(407) 449-2230,28.61229,-81.20828,
Palm Bay,"1420�Palm�Bay�Rd�NE, Palm Bay, FL 32905",(321) 373-0033,28.03463,-80.63034,
Palm Coast,"100 Flagler Plaza Dr, Palm Coast, FL 32137",(850) 391-5455,29.47543,-81.17943,
Palm Harbor,"35388 US Hwy 19 N, Palm Harbor, FL 34684",(727) 288-9922,28.09309,-82.73974,
Panama City,"3611 W US Hwy 98, Panama City, FL 32401",(833) 735-8368,30.1805,-85.70845,
Pensacola,"7817 N Davis Hwy, Pensacola, FL 32514",(850) 505-3160,30.51904,-87.21404,
Pinellas Park,"6999 US Hwy 19 N, Pinellas Park, FL 33781",(727) 275-1933,27.83562,-82.6812,
Port Charlotte,"1994 Kings Hwy, Port Charlotte, FL 33980",(941) 628-7031,26.98626,-82.06175,
Port Orange,"3665�S�Clyde�Morris�Blvd, Port Orange, FL 32129",(850) 391-5455,29.14911,-81.0343,
Port St. Lucie,"10941 US Hwy 1, Port St. Lucie, FL 34952",(772) 249-4199,27.26463,-80.28536,
Sanford,"610 Lake Minnie Dr, Sanford, FL 32773",(407) 531-8588,28.75114,-81.29082,
Sarasota,"6979 S Tamiami Trl, Sarasota, FL 34231",(941) 500-3128,27.25518,-82.51685,
Sebastian,"1701 US 1 Ste 3-5, Sebastian, FL 32958",(833) 880-5420,27.82661,-80.47728,
Spring Hill,"10520 Spring Hill Dr, Spring Hill, FL 34608",(352) 355-4322,28.46011,-82.54403,
St. Augustine,"160 King St, St. Augustine, FL 32084",(904) 830-0011,29.89141,-81.32361,
St. Petersburg,"3811�Tyrone�Blvd, St. Petersburg, FL 33709",(727) 369-9019,27.80671,-82.74949,
Stuart,"4203 SE Federal Hwy Ste 103, Stuart, FL 34997",(772) 678-3958,27.15403,-80.21829,
Summerfield,"16810 US-441 Ste 501, Summerfield, FL 34491",(352) 307-2177,28.97807,-81.98377,
Tallahassee,"1345�Thomasville�Rd, Tallahassee, FL 32303",(850) 848-4768,30.45783,-84.27677,
Tampa,"6421�N�Florida�Ave, Tampa, FL 33604",(813) 497-2028,28.00554,-82.45922,
The Villages,"13940 US-441 Ste 601, The Villages, FL 32159",(352) 240-3805,28.94895,-81.95415,
Titusville,"200 S Washington Ave, Titusville, FL 32796",(321) 567-1212,28.61331,-80.80782,
Venice,"1290 Jacaranda Blvd, Venice, FL 34292",(941) 800-2003,27.09951,-82.384087,
Vero Beach,"1290 Jacaranda Blvd, Venice, FL 34292",(941) 800-2003,27.09951,-82.384087,
Wellington,"1045 S State Rd 7 Ste 200, Wellington, FL 33414",(833) 880-5420,26.66301,-80.20524,
Wesley Chapel,"27437 Wesley Chapel Blvd, Wesley Chapel, FL 33544",(813) 734-8936,28.23868,-82.36224,
West Palm Beach,"237 Okeechobee Blvd, West Palm Beach, FL 33409",(561) 675-0890,26.70547,-80.05159,
Winter Haven,"285�1st�St, Winter Haven, FL 33880",(863) 656-5777,28.01881,-81.72691,
