OBJECTID,UNIT_ID,SITE_NAME,DISTRICT,UPLAND,SUBMERGED,PUBLIC_ACC,ACREAGE,COUNTY,URL,ADDRESS,WEB_ALIAS,ABBREVIATION,SHAPEAREA,SHAPELEN
1,S00076,Tomoka State Park,3,1497.42004395,122.68000031,Open-Fee Required,1627.99757036,Volusia,https://www.floridastateparks.org/parks-and-trails/tomoka-state-park,"2099 N Beach St Ormond Beach, Fl 32174",Tomoka,TM,6588272.42326523,25728.1173783458
2,S00087,Lake Kissimmee State Park,3,5621.20996094,271.92001343,Open-Fee Required,5893.22681214,"Polk, Osceola",https://www.floridastateparks.org/parks-and-trails/lake-kissimmee-state-park,"14248 Camp Mack Rd Lake Wales, Fl 33898",Lake-Kissimmee,LK,23849042.7733704,32409.3538209314
3,S00088,Lake Manatee State Park,4,526.20001221,22.57999992,Open-Fee Required,548.85457068,Manatee,https://www.floridastateparks.org/parks-and-trails/lake-manatee-state-park,"20007 Sr 64 Bradenton, Fl 34202",Lake-Manatee,LAM,2221135.64432974,14607.0068190478
4,S00059,Ochlockonee River State Park,1,523.19000244,15.13000011,Open-Fee Required,538.35901074,Wakulla,https://www.floridastateparks.org/parks-and-trails/ochlockonee-river-state-park,"429 State Park Rd Sopchoppy, Fl 32358 Po Box 5",Ochlockonee-River,OR,2178661.62018498,9624.77673451227
5,S00061,Olustee Battlefield Historic State Park,2,691.09002686,0,Open-No Fee Required,617.04916254,Baker,https://www.floridastateparks.org/parks-and-trails/olustee-battlefield-historic-state-park,"5815 Battlefield Trail Rd. Olustee, Fl 32087",Olustee-Battlefield,OLB,2497109.36638189,9641.24403717974
6,S00070,St. Lucie Inlet Preserve State Park,5,946.36999512,3888.2800293,Open-Fee Required,4848.7942553,Martin,https://www.floridastateparks.org/parks-and-trails/st-lucie-inlet-preserve-state-park,"St Lucie Inlet Preserve State Park Martin County, Fl",St-Lucie-Inlet,SL,19622374.1729487,23449.4526788381
7,S00105,The Barnacle Historic State Park,5,5.25,4.17999983,Open-Fee Required,9.39333556,Dade,https://www.floridastateparks.org/parks-and-trails/barnacle-historic-state-park,"3485 Main Hwy Coconut Grove, Fl 33133",The-Barnacle,BA,38013.48032983,1605.8210404338
8,S00047,Lake Jackson Mounds Archaeological State Park,1,196.83999634,2.97000003,Open-Fee Required,199.81118404,Leon,https://www.floridastateparks.org/parks-and-trails/lake-jackson-mounds-archaeological-state-park,"3600 Indian Mounds Rd. Tallahassee, Fl 32303",Lake-Jackson,LJM,808607.173395505,7057.81115730838
9,S00045,Koreshan State Park,4,195.61999512,0.54000002,Open-Fee Required,196.15468728,Lee,https://www.floridastateparks.org/parks-and-trails/koreshan-state-park,"3800 Corkscrew Road Estero, Fl 33928",Koreshan,KR,793809.856008,7648.53299918909
10,S00037,Hillsborough River State Park,4,3286.66992188,32.36999893,Open-Fee Required,3319.05141553,Hillsborough,https://www.floridastateparks.org/parks-and-trails/hillsborough-river-state-park,"15402 Us 301 N Thonotosassa, Fl 33592",Hillsborough-River,HR,13431724.5371947,57348.9436761462
11,S00042,John Gorrie Museum State Park,1,1.25,0,Open-Fee Required,0.96421645,Franklin,https://www.floridastateparks.org/parks-and-trails/john-gorrie-museum-state-park,"46 5Th Street Apalachicola, Fl 32320",John-Gorrie-Museum,GM,3902.04551627,438.901516500942
12,S00101,Blue Spring State Park,3,2202.01000977,441.89001465,Open-Fee Required,2659.05286419,Volusia,https://www.floridastateparks.org/parks-and-trails/blue-spring-state-park,"2100 W French Ave Orange City, Fl 32763",Blue-Spring,BSP,10760805.160953,26482.8368979072
13,S00137,Stephen Foster Folk Culture Center State Park,2,907.08001709,0,Open-Fee Required,903.89854999,"Hamilton, Columbia",https://www.floridastateparks.org/parks-and-trails/stephen-foster-folk-culture-center-state-park,"11016 Lillian Saunders Drive White Springs, Fl 32096 Po Box G",Stephen-Foster,STF,3657947.652206,18306.6823349779
14,S00150,Rock Springs Run State Reserve,3,13882.79003906,282.02999878,Open-Fee Required,14164.77411198,"Orange, Lake, Seminole",https://www.floridastateparks.org/parks-and-trails/rock-springs-run-state-reserve,"Rock Springs Run State Reserve County Rd. 433 Sorento, Fl",Rock-Springs-Run,RKS,57322807.0869218,65262.1602992777
15,S00114,Fakahatchee Strand Preserve State Park,4,79580.1015625,77.01000214,Open-Fee Required,79657.1131318,Collier,https://www.floridastateparks.org/parks-and-trails/fakahatchee-strand-preserve-state-park,"137 Coastline Dr Copeland, Fl 34137 Po Box 548",Fakahatchee-Strand,FS,322360899.867262,611228.416133722
16,S00266,Palatka-to-Lake Butler State Trail,2,613.01000977,0,Open-No Fee Required,613.94025948,"Bradford, Clay, Putnam, Union",https://www.floridastateparks.org/parks-and-trails/palatka-lake-butler-state-trail,"6065 Twin Lakes Rd. Keystone Heights, Fl 32656",Palatka-Lake-Butler,PLB,2484528.08204446,149779.550858389
17,S00206,Windley Key Fossil Reef Geological State Park,5,302.1000061,54.04000092,Open-Fee Required,320.37836517,Monroe,https://www.floridastateparks.org/parks-and-trails/windley-key-fossil-reef-geological-state-park,"84900 Overseas Highway Islamorada, Fl 33036 Po Box 1052",Windley-Key,WDK,1296525.24468403,5320.05279028803
18,S00139,Bulow Creek State Park,3,4091.72998047,1494.09997559,Open-No Fee Required,5698.1377594,"Flagler, Volusia",https://www.floridastateparks.org/parks-and-trails/bulow-creek-state-park,"3335 Old Dixie Hwy Ormond Beach, Fl 32174",Bulow-Creek,BC,23059545.3873304,73472.6267056884
19,S00241,Fanning Springs State Park,2,193.08000183,5.28999996,Open-Fee Required,196.63378901,Levy,https://www.floridastateparks.org/parks-and-trails/fanning-springs-state-park,"11650 Nw 115Th Street Chiefland, Fl 32034",Fanning-Springs,FN,795748.71192647,7076.00051056915
20,S00259,Werner-Boyce Salt Springs State Park,4,2615.18994141,1384.13000488,Open-Fee Required,4004.09792013,Pasco,https://www.floridastateparks.org/parks-and-trails/werner-boyce-salt-springs-state-park,"9120 Old Post Road Port Richey, Fl 34668",Werner-Boyce,WEB,16204009.3839909,29526.2134714723
21,S00243,Troy Spring State Park,2,72.34999847,6.05000019,Open-Fee Required,83.57163866,Lafayette,https://www.floridastateparks.org/parks-and-trails/troy-spring-state-park,"674 Troy Spring Rd. Branford, Fl 32008",Troy-Spring,TS,338202.422645205,2777.19877261526
