OBJECTID,SITE_NAME,PUBLIC_ACC,ACREAGE,COUNTY,ADDRESS,Lat,Long
1,Tomoka State Park,Open-Fee Required,1627.99757,Volusia,"2099 N Beach St Ormond Beach, Fl 32174",29.328184,-81.07734
2,Lake Kissimmee State Park,Open-Fee Required,5893.226812,"Polk, Osceola","14248 Camp Mack Rd Lake Wales, Fl 33898",27.972112,-81.379784
3,Lake Manatee State Park,Open-Fee Required,548.8545707,Manatee,"20007 Sr 64 Bradenton, Fl 34202",27.475207,-82.344167
4,Ochlockonee River State Park,Open-Fee Required,538.3590107,Wakulla,"429 State Park Rd Sopchoppy, Fl 32358 Po Box 5",29.999161, -84.484893
5,Olustee Battlefield Historic State Park,Open-No Fee Required,617.0491625,Baker,"5815 Battlefield Trail Rd. Olustee, Fl 32087",30.658345,-85.342586
6,St. Lucie Inlet Preserve State Park,Open-Fee Required,4848.794255,Martin,"St Lucie Inlet Preserve State Park Martin County, Fl",29.795592,-81.858974
7,The Barnacle Historic State Park,Open-Fee Required,9.39333556,Dade,"3485 Main Hwy Coconut Grove, Fl 33133",25.731554,-80.243005
8,Lake Jackson Mounds Archaeological State Park,Open-Fee Required,199.811184,Leon,"3600 Indian Mounds Rd. Tallahassee, Fl 32303",30.501457, -84.313858
9,Koreshan State Park,Open-Fee Required,196.1546873,Lee,"3800 Corkscrew Road Estero, Fl 33928",26.431186,-81.814201
10,Hillsborough River State Park,Open-Fee Required,3319.051416,Hillsborough,"15402 Us 301 N Thonotosassa, Fl 33592",28.141049,-82.226658
11,John Gorrie Museum State Park,Open-Fee Required,0.96421645,Franklin,"46 5Th Street Apalachicola, Fl 32320",29.724972,-84.9841
12,Blue Spring State Park,Open-Fee Required,2659.052864,Volusia,"2100 W French Ave Orange City, Fl 32763",28.952332,-81.334823
13,Stephen Foster Folk Culture Center State Park,Open-Fee Required,903.89855,"Hamilton, Columbia","11016 Lillian Saunders Drive White Springs, Fl 32096 Po Box G",30.331735, -82.76548
14,Rock Springs Run State Reserve,Open-Fee Required,14164.77411,"Orange, Lake, Seminole","Rock Springs Run State Reserve County Rd. 433 Sorento, Fl",30.353662,-82.780363
15,Fakahatchee Strand Preserve State Park,Open-Fee Required,79657.11313,Collier,"137 Coastline Dr Copeland, Fl 34137 Po Box 548",25.951129,-81.360049
16,Palatka-to-Lake Butler State Trail,Open-No Fee Required,613.9402595,"Bradford, Clay, Putnam, Union","6065 Twin Lakes Rd. Keystone Heights, Fl 32656",29.773438,-81.998565
17,Windley Key Fossil Reef Geological State Park,Open-Fee Required,320.3783652,Monroe,"84900 Overseas Highway Islamorada, Fl 33036 Po Box 1052",24.948981,-80.59653
18,Bulow Creek State Park,Open-No Fee Required,5698.137759,"Flagler, Volusia","3335 Old Dixie Hwy Ormond Beach, Fl 32174",29.387807,-81.132354
19,Fanning Springs State Park,Open-Fee Required,196.633789,Levy,"11650 Nw 115Th Street Chiefland, Fl 32034",29.496195,-82.964207
20,Werner-Boyce Salt Springs State Park,Open-Fee Required,4004.09792,Pasco,"9120 Old Post Road Port Richey, Fl 34668",28.290002,-82.724458
21,Troy Spring State Park,Open-Fee Required,83.57163866,Lafayette,"674 Troy Spring Rd. Branford, Fl 32008",30.004856,-82.998853
22,Three Servicemen Memorial (Managed by Orman House),Open-No Fee Required,1.23707768,Franklin,"177 5Th St  Apalachicola, Fl 32320",29.72972,-84.9902
23,Orman House Historic State Park,Open-Fee Required,9.02839825,Franklin,"177 5Th St  Apalachicola, Fl 32320",29.729719,-84.990196
24,Withlacoochee State Trail,Open-No Fee Required,761.5821491,"Citrus, Hernando, Pasco","2246 W Magenta Dr. Citurs Springs, Fl 34434",29.02694,-82.47062
25,Dunns Creek State Park,Open-No Fee Required,6349.930828,Putnam,"Dunns Creek State Park Florida 15 Pomona Park, Fl",29.49737,-81.59129
26,Long Key State Park,Open-Fee Required,1001.759746,Monroe,"67400 Overseas Hwy  Long Key, Fl 33001 Po Box 776",24.82345,-80.81694
27,T.H. Stone Memorial St. Joseph Peninsula State Park,Open-Fee Required,2790.912394,Gulf,"8899 Cape San Blas Rd Port St Joe, Fl 32456",29.7559,-85.39543
28,Colt Creek State Park,Open-No Fee Required,5067.007724,Polk,"16000 State Road 471 Lakeland, Fl 33809",28.28164,-82.05547
29,Eden Gardens State Park,Open-Fee Required,161.0359574,Walton,"181 Eden Gardens Rd. Santa Rosa Beach, Fl 32450",30.37147,-86.11818
30,Oscar Scherer State Park,Open-Fee Required,1396.323315,Sarasota,"1843 S Tamiami Tr Osprey, Fl 34229",27.18228,-82.4836
31,Deer Lake State Park,Open-Fee Required,2009.442959,Walton,"6350 East County Rd. 30-A Santa Rosa Beach, Fl 32459",30.30576,-86.07408
32,Torreya State Park,Open-Fee Required,14090.99134,"Liberty, Gadsden","2576 Nw Torreya Pk Road Bristol, Fl 32321",30.57162,-84.94584
33,Collier-Seminole State Park,Open-Fee Required,7270.799973,Collier,"20200 E Tamiami Trail Naples, Fl 34114",25.99274,-81.59049
34,North Peninsula State Park,Open-No Fee Required,556.0654293,Volusia,"40 Highbridge Rd. Ormond By The Sea, Fl 32176",29.33212,-81.06284
35,Ichetucknee Springs State Park,Open-Fee Required,2531.969426,"Columbia, Suwannee","12087 Sw Us Hwy 27 Ft White, Fl 32038",29.95149,-82.77828
36,San Pedro Underwater Archaeological Preserve State Park,Open-No Fee Required,643.6235236,Monroe,"77200 Overseas Hwy Islamorada, Fl 33001",24.88028,-80.69456
37,General James A. Van Fleet State Trail,Open-No Fee Required,421.6976855,"Sumter, Lake, Polk","7683 Berkley Road Polk City, Fl 33968",28.18002,-81.82727
38,Cedar Key Museum State Park,Open-Fee Required,18.62748893,Levy,"12231 Sw 166 Ct Cedar Key, Fl 32625",29.15056,-83.04802
39,De Leon Springs State Park,Open-Fee Required,624.7891182,Volusia,"601 Ponce De Leon Blvd De Leon Springs, Fl 32130",29.13076,-81.3595
40,Haw Creek Preserve State Park,Open-No Fee Required,3061.669373,"Flagler, Volusia, Putnam","Haw Creek Preserve State Park Seville, Fl",29.26519,-81.33464
41,Terra Ceia Preserve State Park,Open-No Fee Required,1948.016081,Manatee,"130 Terra Ceia Rd. Terra Ceia, Fl 34606",27.57947,-82.57211
42,Mike Roess Gold Head Branch State Park,Open-Fee Required,2366.87236,Clay,"6239 Sr 21 Keystone Heights, Fl 32656",29.85033,-81.95911
43,Curry Hammock State Park,Open-Fee Required,1049.684172,Monroe,"56200 Overseas Hwy Marathon, Fl 33050",24.74197,-80.9817
44,Seabranch Preserve State Park,Open-No Fee Required,921.4925373,Martin,"6093 Se Dixie Highway Stuart, Fl 34997",27.13049,-80.16972
45,Fort Mose Historic State Park,Open-Fee Required,41.34664847,St. Johns,"15 Fort Mose Trail St. Augustine, Fl 32084",29.92961,-81.32509
46,Dr. Von D. Mizell-Eula Johnson State Park,Open-Fee Required,312.669541,Broward,"6503 N Ocean Dr Dania Bch, Fl 33004",26.05515,-80.11404
47,Camp Helen State Park,Open-Fee Required,189.9307198,Bay,"23937 Panama City Beach Parkway Panama City Beach, Fl 32413",30.27327,-85.99227
48,St. Sebastian River Preserve State Park,Open-No Fee Required,21629.353,"Brevard, Indian River","1000 Buffer Preserve Drive Fellsmere, Fl 32948",27.83092,-80.60128
49,Nature Coast State Trail,Open-No Fee Required,656.2721184,"Dixie, Gilchrist, Levy","18020 Nw Hwy 19 Fanning Springs, Florida 32693",29.5911,-82.93552
50,Cockroach Bay Preserve State Park,Open-No Fee Required,614.9614388,Hillsborough,"End Of Cockroach Bay Rd. Ruskin, Fl 33570",27.6874,-82.49516
51,Ybor City Museum State Park,Open-Fee Required,0.95783507,Hillsborough,"1818 E. 9Th Avenue Tampa, Fl 33605",27.96191,-82.43832
52,Lower Wekiva River Preserve State Park,Open-No Fee Required,17376.25875,"Lake, Seminole","8300 W. State Rd. 46 Sanford, Fl 32712",28.81499,-81.40517
53,Lake Griffin State Park,Open-Fee Required,620.6567868,Lake,"3089 Us Highway 441/27 Fruitland Park, Fl 34731",28.85706,-81.90048
54,Manatee Springs State Park,Open-Fee Required,2455.68584,Levy,"11650 Nw 115 St Chiefland, Fl 32626",29.48783,-82.97703
55,Mound Key Archaeological State Park,Open-No Fee Required,119.9475835,Lee,"Mound Key Archaeological State Park Estero, Fl 33928",33.0069,-87.6369
56,Myakka River State Park,Open-Fee Required,37197.67704,"Manatee, Sarasota","13208 State Rd 72 Sarasota, Fl 34241",27.2408,-82.31592
57,Henderson Beach State Park,Open-Fee Required,228.3630076,Okaloosa,"17000 Emerald Coast Pkwy Destin, Fl 32541",30.38489,-86.44238
58,Dudley Farm Historic State Park,Open-Fee Required,333.4619373,Alachua,"18730 W. Newberry Rd. Newberry, Fl 32669",29.65784,-82.5395
59,Lignumvitae Key Botanical State Park,Open-Fee Required,10724.21519,Monroe,"77200 Overseas Hwy Islamorada, Fl 33001",24.88028,-80.69456
60,Gasparilla Island State Park,Open-Fee Required,126.3577578,Lee,"880 Belcher Rd Boca Grande, Fl 33921 Po Box 1150",26.71954,-82.26011
61,Don Pedro Island State Park,Open-Fee Required,245.1209001,Charlotte,"8450 Placida Rd. Cape Haze, Fl 33946",26.85588,-82.30268
62,Edward Ball Wakulla Springs State Park,Open-Fee Required,6069.767485,Wakulla,"465 Wakulla Park Dr Wakulla Springs, Fl 32327",30.22869,-84.30266
63,Wes Skiles Peacock Springs State Park,Open-Fee Required,761.0044643,Suwannee,"18181 185Th Rd. Live Oak, Fl 32060",30.11113,-83.12551
64,Ellie Schiller Homosassa Springs Wildlife State Park,Open-Fee Required,200.8510453,Citrus,"4150 S Suncoast Blvd Homosassa, Fl 34446",28.80074,-82.57812
65,Fort George Island Cultural State Park,Open-No Fee Required,806.2077241,Duval,"11241 Fort George Rd. Jacksonville, Fl 32226",30.43527,-81.43038
66,Lake June-in-Winter Scrub Preserve State Park,Open-Fee Required,845.6716149,Highlands,"Daffodil Rd. Lake Placid, Fl 33852",27.30466,-81.34358
67,Okeechobee Battlefield Historic State Park,Open-No Fee Required,145.3234675,Okeechobee,"3500 Se 38Th Ave. Okeechobee, Fl 34974",27.21217,-80.78906
68,Kissimmee Prairie Preserve State Park,Open-Fee Required,53738.52433,"Okeechobee, Osceola","33104 Nw 192Nd Ave Okeechobee, Fl 34972",27.54359,-81.0227
69,Letchworth-Love Mounds Archaeological State Park,Open-No Fee Required,190.1135737,Jefferson,"4500 Sunray Rd. South Tallahassee, Fl 32309",30.52185,-83.99065
70,Hugh Taylor Birch State Park,Open-Fee Required,162.5397866,Broward,"3109 E Sunrise Blvd Ft Lauderdale, Fl 33304",26.14086,-80.10318
71,Lafayette Blue Springs State Park,Open-Fee Required,713.915426,Lafayette,"799 Nw Blue Spring Rd May, Fl 32066",30.10794,-83.23645
72,Tarkiln Bayou Preserve State Park,Open-Fee Required,4473.244419,Escambia,"2401 Bauer Rd. Pensacola, Fl 32507",30.37312,-87.4023
73,Ravine Gardens State Park,Open-Fee Required,152.6692793,Putnam,"1600 Twigg St. Palatka, Fl 32177",30.37312,-87.4023
74,Yellow River Marsh Preserve State Park,Open-No Fee Required,833.6800592,Santa Rosa,"7720 Deaton Bridge Rd Holt, Fl 32564",30.7097,-86.87586
75,Blackwater River State Park,Open-Fee Required,635.8222842,Santa Rosa,"7720 Deaton Bridge Rd Holt, Fl 32564",30.7097,-86.87586
76,Bulow Plantation Ruins Historic State Park,Open-Fee Required,147.9696586,Flagler,"3501 Old Kings Rd. Flagler Beach, Fl 32136",29.43021,-81.15348
77,Indian Key Historic State Park,Open-No Fee Required,110.9221269,Monroe,"Indian Key, Fl",27.86316,-82.84096
78,Constitution Convention Museum State Park,Open-Fee Required,13.22145831,Gulf,"200 Allen Memorial Way Port St Joe, Fl 32456",29.7935,-85.29679
79,Oleta River State Park,Open-Fee Required,1032.778115,Dade,"3400 Ne 163Rd St N Miami, Fl 33160",25.92852,-80.1349
80,Pumpkin Hill Creek Preserve State Park,Open-No Fee Required,4077.132725,Duval,"13802 Pumpkin Hill Road Jacksonville, Fl 32226",30.48065,-81.48787
81,Crystal River Archaeological State Park,Open-Fee Required,61.48455729,Citrus,"3400 N Museum Pt Crystal River, Fl 34428",28.90936,-82.62795
82,Dade Battlefield Historic State Park,Open-Fee Required,80.52228175,Sumter,"7200 Cr 603 - S Battlefield Drive Bushnell, Fl 33513",28.65306,-82.12727
83,Falling Waters State Park,Open-Fee Required,166.2381542,Washington,"1130 State Park Rd Chipley, Fl 32428",30.73087,-85.52882
84,Faver-Dykes State Park,Open-Fee Required,6027.639145,St. Johns,"1000 Faver-Dykes Rd. St. Augustine, Fl 32181",29.66914,-81.26672
85,Fernandina Plaza Historic State Park,Open-No Fee Required,0.79794502,Nassau,"Estrada Street Fernandina Beach, Fl 32034",30.68897,-81.45617
86,Gamble Rogers Memorial State Recreation Area at Flagler Beach,Open-Fee Required,133.7111771,Flagler,"3100 South A1A Flagler Beach, Fl 32136",29.44157,-81.10967
87,Forest Capital Museum State Park,Open-Fee Required,13.93089675,Taylor,"204 Forest Park Dr Perry, Fl 32348",30.07997,-83.56815
88,Ponce de Leon Springs State Park,Open-Fee Required,380.8407682,"Holmes, Walton","2860 Ponce De Leon Springs Rd Ponce De Leon, Fl 32455",30.72288,-85.93033
89,Fort Cooper State Park,Open-Fee Required,708.0532338,Citrus,"3100  S Old Floral City Rd Inverness, Fl 34450",28.81669,-82.30279
90,Stump Pass Beach State Park,Open-No Fee Required,211.2385339,Charlotte,"South End Of Manasota Key 900 Gulf Blvd. Englewood, Fl 34233",26.90639,-82.34978
