SITE_NAME,ADDRESS,Lat,Long
Tomoka State Park,"2099 N Beach St Ormond Beach, Fl 32174",29.328184,-81.07734
Lake Kissimmee State Park,"14248 Camp Mack Rd Lake Wales, Fl 33898",27.972112,-81.379784
Lake Manatee State Park,"20007 Sr 64 Bradenton, Fl 34202",27.475207,-82.344167
Ochlockonee River State Park,"429 State Park Rd Sopchoppy, Fl 32358 Po Box 5",29.999161, -84.484893
Olustee Battlefield Historic State Park,"5815 Battlefield Trail Rd. Olustee, Fl 32087",30.658345,-85.342586
St. Lucie Inlet Preserve State Park,"St Lucie Inlet Preserve State Park Martin County, Fl",29.795592,-81.858974
The Barnacle Historic State Park,"3485 Main Hwy Coconut Grove, Fl 33133",25.731554,-80.243005
Lake Jackson Mounds Archaeological State Park,"3600 Indian Mounds Rd. Tallahassee, Fl 32303",30.501457, -84.313858
Koreshan State Park,"3800 Corkscrew Road Estero, Fl 33928",26.431186,-81.814201
Hillsborough River State Park,"15402 Us 301 N Thonotosassa, Fl 33592",28.141049,-82.226658
John Gorrie Museum State Park,"46 5Th Street Apalachicola, Fl 32320",29.724972,-84.9841
Blue Spring State Park,"2100 W French Ave Orange City, Fl 32763",28.952332,-81.334823
Stephen Foster Folk Culture Center State Park,"11016 Lillian Saunders Drive White Springs, Fl 32096 Po Box G",30.331735, -82.76548
Rock Springs Run State Reserve,"Rock Springs Run State Reserve County Rd. 433 Sorento, Fl",30.353662,-82.780363
Fakahatchee Strand Preserve State Park,"137 Coastline Dr Copeland, Fl 34137 Po Box 548",25.951129,-81.360049
Palatka-to-Lake Butler State Trail,"6065 Twin Lakes Rd. Keystone Heights, Fl 32656",29.773438,-81.998565
Windley Key Fossil Reef Geological State Park,"84900 Overseas Highway Islamorada, Fl 33036 Po Box 1052",24.948981,-80.59653
Bulow Creek State Park,"3335 Old Dixie Hwy Ormond Beach, Fl 32174",29.387807,-81.132354
Fanning Springs State Park,"11650 Nw 115Th Street Chiefland, Fl 32034",29.496195,-82.964207
Werner-Boyce Salt Springs State Park,"9120 Old Post Road Port Richey, Fl 34668",28.290002,-82.724458
Troy Spring State Park,"674 Troy Spring Rd. Branford, Fl 32008",30.004856,-82.998853
Three Servicemen Memorial (Managed by Orman House),"177 5Th St  Apalachicola, Fl 32320",29.72972,-84.9902
Orman House Historic State Park,"177 5Th St  Apalachicola, Fl 32320",29.729719,-84.990196
Withlacoochee State Trail,"2246 W Magenta Dr. Citurs Springs, Fl 34434",29.02694,-82.47062
Dunns Creek State Park,"Dunns Creek State Park Florida 15 Pomona Park, Fl",29.49737,-81.59129
Long Key State Park,"67400 Overseas Hwy  Long Key, Fl 33001 Po Box 776",24.82345,-80.81694
T.H. Stone Memorial St. Joseph Peninsula State Park,"8899 Cape San Blas Rd Port St Joe, Fl 32456",29.7559,-85.39543
Colt Creek State Park,"16000 State Road 471 Lakeland, Fl 33809",28.28164,-82.05547
Eden Gardens State Park,"181 Eden Gardens Rd. Santa Rosa Beach, Fl 32450",30.37147,-86.11818
Oscar Scherer State Park,"1843 S Tamiami Tr Osprey, Fl 34229",27.18228,-82.4836
Deer Lake State Park,"6350 East County Rd. 30-A Santa Rosa Beach, Fl 32459",30.30576,-86.07408
Torreya State Park,"2576 Nw Torreya Pk Road Bristol, Fl 32321",30.57162,-84.94584
Collier-Seminole State Park,"20200 E Tamiami Trail Naples, Fl 34114",25.99274,-81.59049
North Peninsula State Park,"40 Highbridge Rd. Ormond By The Sea, Fl 32176",29.33212,-81.06284
Ichetucknee Springs State Park,"12087 Sw Us Hwy 27 Ft White, Fl 32038",29.95149,-82.77828
San Pedro Underwater Archaeological Preserve State Park,"77200 Overseas Hwy Islamorada, Fl 33001",24.88028,-80.69456
General James A. Van Fleet State Trail,"7683 Berkley Road Polk City, Fl 33968",28.18002,-81.82727
Cedar Key Museum State Park,"12231 Sw 166 Ct Cedar Key, Fl 32625",29.15056,-83.04802
De Leon Springs State Park,"601 Ponce De Leon Blvd De Leon Springs, Fl 32130",29.13076,-81.3595
Haw Creek Preserve State Park,"Haw Creek Preserve State Park Seville, Fl",29.26519,-81.33464
Terra Ceia Preserve State Park,"130 Terra Ceia Rd. Terra Ceia, Fl 34606",27.57947,-82.57211
Mike Roess Gold Head Branch State Park,"6239 Sr 21 Keystone Heights, Fl 32656",29.85033,-81.95911
Curry Hammock State Park,"56200 Overseas Hwy Marathon, Fl 33050",24.74197,-80.9817
Seabranch Preserve State Park,"6093 Se Dixie Highway Stuart, Fl 34997",27.13049,-80.16972
Fort Mose Historic State Park,"15 Fort Mose Trail St. Augustine, Fl 32084",29.92961,-81.32509
Dr. Von D. Mizell-Eula Johnson State Park,"6503 N Ocean Dr Dania Bch, Fl 33004",26.05515,-80.11404
Camp Helen State Park,"23937 Panama City Beach Parkway Panama City Beach, Fl 32413",30.27327,-85.99227
St. Sebastian River Preserve State Park,"1000 Buffer Preserve Drive Fellsmere, Fl 32948",27.83092,-80.60128
Nature Coast State Trail,"18020 Nw Hwy 19 Fanning Springs, Florida 32693",29.5911,-82.93552
Cockroach Bay Preserve State Park,"End Of Cockroach Bay Rd. Ruskin, Fl 33570",27.6874,-82.49516
Ybor City Museum State Park,"1818 E. 9Th Avenue Tampa, Fl 33605",27.96191,-82.43832
Lower Wekiva River Preserve State Park,"8300 W. State Rd. 46 Sanford, Fl 32712",28.81499,-81.40517
Lake Griffin State Park,"3089 Us Highway 441/27 Fruitland Park, Fl 34731",28.85706,-81.90048
Manatee Springs State Park,"11650 Nw 115 St Chiefland, Fl 32626",29.48783,-82.97703
Mound Key Archaeological State Park,"Mound Key Archaeological State Park Estero, Fl 33928",33.0069,-87.6369
Myakka River State Park,"13208 State Rd 72 Sarasota, Fl 34241",27.2408,-82.31592
Henderson Beach State Park,"17000 Emerald Coast Pkwy Destin, Fl 32541",30.38489,-86.44238
Dudley Farm Historic State Park,"18730 W. Newberry Rd. Newberry, Fl 32669",29.65784,-82.5395
Lignumvitae Key Botanical State Park,"77200 Overseas Hwy Islamorada, Fl 33001",24.88028,-80.69456
Gasparilla Island State Park,"880 Belcher Rd Boca Grande, Fl 33921 Po Box 1150",26.71954,-82.26011
Don Pedro Island State Park,"8450 Placida Rd. Cape Haze, Fl 33946",26.85588,-82.30268
Edward Ball Wakulla Springs State Park,"465 Wakulla Park Dr Wakulla Springs, Fl 32327",30.22869,-84.30266
Wes Skiles Peacock Springs State Park,"18181 185Th Rd. Live Oak, Fl 32060",30.11113,-83.12551
Ellie Schiller Homosassa Springs Wildlife State Park,"4150 S Suncoast Blvd Homosassa, Fl 34446",28.80074,-82.57812
Fort George Island Cultural State Park,"11241 Fort George Rd. Jacksonville, Fl 32226",30.43527,-81.43038
Lake June-in-Winter Scrub Preserve State Park,"Daffodil Rd. Lake Placid, Fl 33852",27.30466,-81.34358
Okeechobee Battlefield Historic State Park,"3500 Se 38Th Ave. Okeechobee, Fl 34974",27.21217,-80.78906
Kissimmee Prairie Preserve State Park,"33104 Nw 192Nd Ave Okeechobee, Fl 34972",27.54359,-81.0227
Letchworth-Love Mounds Archaeological State Park,"4500 Sunray Rd. South Tallahassee, Fl 32309",30.52185,-83.99065
Hugh Taylor Birch State Park,"3109 E Sunrise Blvd Ft Lauderdale, Fl 33304",26.14086,-80.10318
Lafayette Blue Springs State Park,"799 Nw Blue Spring Rd May, Fl 32066",30.10794,-83.23645
Tarkiln Bayou Preserve State Park,"2401 Bauer Rd. Pensacola, Fl 32507",30.37312,-87.4023
Ravine Gardens State Park,"1600 Twigg St. Palatka, Fl 32177",30.37312,-87.4023
Yellow River Marsh Preserve State Park,"7720 Deaton Bridge Rd Holt, Fl 32564",30.7097,-86.87586
Blackwater River State Park,"7720 Deaton Bridge Rd Holt, Fl 32564",30.7097,-86.87586
Bulow Plantation Ruins Historic State Park,"3501 Old Kings Rd. Flagler Beach, Fl 32136",29.43021,-81.15348
Indian Key Historic State Park,"Indian Key, Fl",27.86316,-82.84096
