title,address,phone,lat,lng,icon,contentString,category 
Panama City Beach,,,30.176592,-85.805489,,,beach
Destin Beach,,,30.393681,-86.495659,,,beach
Amelia Island,,,30.62657,-81.460854,,,beach
St. Augustine Beach,,,29.85202,-81.267319,,,beach
Cocoa Beach,,,28.320221,-80.608871,,,beach
Clearwater beach,,,27.92444,-82.841003,,,beach
Vero Beach,,,27.63888,-80.389076,,,beach
Longboat Key,,,27.412542,-82.658989,,,beach
"Fort De Soto Park, Tierra Verde",,,27.62509,-82.71264,,,beach
"Pass-a-Grille Beach, St. Petersburg",,,27.69507,-82.7359,,,beach
"Siesta Key, Sarasota",,,27.26619,-82.54565,,,beach
"Blowing Rocks Preserve, Jupiter",,,26.90553,-80.13208,,,beach
"Jupiter Dog Beach, Jupiter",,,26.93414,-80.09974,,,beach
"Lighthouse Beach Park, Sanibel Island",,,26.31783,-80.08352,,,beach
Captiva Island,,,26.51985,-82.189903,,,beach
"Bonita Beach Dog Beach, Fort Myers",,,26.43695,-81.92165,,,beach
"South Beach, Miami",,,40.688599,-86.762711,,,beach
"Cape Florida State Park, Key Biscayne",,,25.67247,-80.15541,,,beach
Smathers Beach,,,29.84056,-81.27058,,,beach
Rest Beach,,,29.26245,-81.15627,,,beach
apollo Beach,"5909 US-41, Apollo Beach, FL 33570",(833) 880-5420,27.76149,27.76149,,,dispensaries
Boca Raton,"9912 Glades Rd, Boca Raton, FL 33434",(561) 939-6655,26.36677,26.36677,,,dispensaries
Bonita Springs,"8800 Terrene Ct, Bonita Springs, FL 34135",(239) 345-4024,26.35354,26.35354,,,dispensaries
Boynton Beach,"202 E Boynton Beach Blvd, Boynton Beach, FL 33435",(877) 308-3344,26.52839,26.52839,,,dispensaries
Bradenton,"4549 W 14th St, Bradenton , FL 34207",(941) 216-7838,27.45904,27.45904,,,dispensaries
Brandon,"1525 E Brandon Blvd, Brandon, FL 33511",(813) 413-5020,27.9371,27.9371,,,dispensaries
Brooksville,"1525 E Brandon Blvd, Brandon, FL 33511",(813) 413-5020,27.9371,27.9371,,,dispensaries
Cape Coral,"2126 Del Prado Blvd S, Cape Coral, FL 32216",(239) 347-4574,26.61234,26.61234,,,dispensaries
Casselberry,"487 Semoran Blvd, Casselberry, FL 32730",(888) 441-5669,28.65495,28.65495,,,dispensaries
Clearwater,"921 S Missouri Ave, Clearwater, FL 33756",(727) 219-9198,27.95562,27.95562,,,dispensaries
Dania Beach,"1103 S Federal Hwy, Dania Beach, FL 33004",(754) 231-4884,26.03771,26.03771,,,dispensaries
Daytona Beach,"910 W International Speedway Blvd, Daytona Beach, FL 32114",(386) 271-4732,29.20506,29.20506,,,dispensaries
Deerfield Beach,"148 N Federal Hwy, Deerfield Beach, FL 33441",754) 212-0060,26.32016,26.32016,,,dispensaries
Delray Beach,"15200 S Jog Rd Ste B11, Delray Beach, FL 33446",(850) 391-5455,26.44858,26.44858,,,dispensaries
Deltona,"1200 Deltona Blvd Ste 2, Deltona, FL 32725",(850) 391-5455,28.89645,28.89645,,,dispensaries
Destin,"868 Hwy 98 E Shoreline Village Mall, Destin, FL 32541",(850) 204-9031,30.38881,30.38881,,,dispensaries
Edgewater,"103 Boston Rd, Edgewater, FL 32141",(386) 478-4081,28.97059,28.97059,,,dispensaries
Fernandina Beach,"474285 E State Rd, Fernandina, FL 32034",(954) 399-6595,30.61861,30.61861,,,dispensaries
Fort Lauderdale,"1417 SW 40th Ter, Fort Lauderdale, FL 33317",(954) 399-6595,26.0724,26.0724,,,dispensaries
Fort Myers,"4480 Fowler St, Fort Myers, FL 33901",(239) 244-9629,26.59825,26.59825,,,dispensaries
