title,address,phone,lat,lng,icon,contentString,category 
Panama City Beach,,,30.176592,-85.805489,,,beach
Destin Beach,,,30.393681,-86.495659,,,beach
Amelia Island,,,30.62657,-81.460854,,,beach
St. Augustine Beach,,,29.85202,-81.267319,,,beach
Cocoa Beach,,,28.320221,-80.608871,,,beach
Clearwater beach,,,27.92444,-82.841003,,,beach
Vero Beach,,,27.63888,-80.389076,,,beach
Longboat Key,,,27.412542,-82.658989,,,beach
"Fort De Soto Park, Tierra Verde",,,27.62509,-82.71264,,,beach
"Pass-a-Grille Beach, St. Petersburg",,,27.69507,-82.7359,,,beach
"Siesta Key, Sarasota",,,27.26619,-82.54565,,,beach
"Blowing Rocks Preserve, Jupiter",,,26.90553,-80.13208,,,beach
"Jupiter Dog Beach, Jupiter",,,26.93414,-80.09974,,,beach
"Lighthouse Beach Park, Sanibel Island",,,26.31783,-80.08352,,,beach
Captiva Island,,,26.51985,-82.189903,,,beach
"Bonita Beach Dog Beach, Fort Myers",,,26.43695,-81.92165,,,beach
"South Beach, Miami","4031 NW 2nd Ave, Miami, FL 33127",,25.8139,-80.19928,,,beach
"Cape Florida State Park, Key Biscayne",,,25.67247,-80.15541,,,beach
Smathers Beach,,,29.84056,-81.27058,,,beach
Rest Beach,,,29.26245,-81.15627,,,beach
apollo Beach,"5909 US-41, Apollo Beach, FL 33570",(833) 880-5420,27.76149,-82.39696,,,dispensaries
Boca Raton,"9912 Glades Rd, Boca Raton, FL 33434",(561) 939-6655,26.36677,-80.20157,,,dispensaries
Bonita Springs,"8800 Terrene Ct, Bonita Springs, FL 34135",(239) 345-4024,26.35354,-81.80708,,,dispensaries
Boynton Beach,"202 E Boynton Beach Blvd, Boynton Beach, FL 33435",(877) 308-3344,26.52839,-80.06191,,,dispensaries
Bradenton,"4549 W 14th St, Bradenton , FL 34207",(941) 216-7838,27.45904,-82.57531,,,dispensaries
Brandon,"1525 E Brandon Blvd, Brandon, FL 33511",(813) 413-5020,27.9371,-82.26248,,,dispensaries
Brooksville,"1525 E Brandon Blvd, Brandon, FL 33511",(813) 413-5020,27.9371,-82.26248,,,dispensaries
Cape Coral,"2126 Del Prado Blvd S, Cape Coral, FL 32216",(239) 347-4574,26.61234,-81.94141,,,dispensaries
Casselberry,"487 Semoran Blvd, Casselberry, FL 32730",(888) 441-5669,28.65495,-81.3339,,,dispensaries
Clearwater,"921 S Missouri Ave, Clearwater, FL 33756",(727) 219-9198,27.95562,-82.78724,,,dispensaries
Dania Beach,"1103 S Federal Hwy, Dania Beach, FL 33004",(754) 231-4884,26.03771,-80.14329,,,dispensaries
Daytona Beach,"910 W International Speedway Blvd, Daytona Beach, FL 32114",(386) 271-4732,29.20506,-81.03644,,,dispensaries
Deerfield Beach,"148 N Federal Hwy, Deerfield Beach, FL 33441",754) 212-0060,26.32016,-80.09057,,,dispensaries
Delray Beach,"15200 S Jog Rd Ste B11, Delray Beach, FL 33446",(850) 391-5455,26.44858,-80.20578,,,dispensaries
Deltona,"1200 Deltona Blvd Ste 2, Deltona, FL 32725",(850) 391-5455,28.89645,-81.27201,,,dispensaries
Destin,"868 Hwy 98 E Shoreline Village Mall, Destin, FL 32541",(850) 204-9031,30.38881,-86.48048,,,dispensaries
Edgewater,"103 Boston Rd, Edgewater, FL 32141",(386) 478-4081,28.97059,-80.8936,,,dispensaries
Fernandina Beach,"474285 E State Rd, Fernandina, FL 32034",(954) 399-6595,30.61861,-81.51613,,,dispensaries
Fort Lauderdale,"1417 SW 40th Ter, Fort Lauderdale, FL 33317",(954) 399-6595,26.0724,-80.15723,,,dispensaries
